mc,uc,nratings,nusers,nmvie,modelsz,L22sz,nv,fittime,evtime
1,5,27716748,266980,53883,24.343884,21.63185,20,7117.5103,292.15567
1,10,27565774,243658,53852,24.302898,21.606966,23,7114.0396,287.0661
1,20,26544038,174605,53781,24.139448,21.55003,27,8357.902,287.1031
2,5,27706599,266980,43734,16.961006,14.250448,20,4757.1997,232.81114
2,10,27555656,243658,43734,16.94491,14.250448,23,5609.2354,194.78448
2,20,26533987,174605,43730,16.8358,14.247842,28,5492.3843,175.88655
5,5,27671580,266979,30824,9.784686,7.078938,23,2492.2966,100.09162
5,10,27520713,243658,30824,9.768599,7.078938,44,5480.9663,128.91615
5,20,26499391,174605,30823,9.661668,7.078479,18,2090.2693,103.75671
10,5,27624556,266979,23716,6.891419,4.190569,23,1836.2778,75.29963
10,10,27473781,243658,23716,6.875338,4.190569,23,1756.509,68.03782
10,20,26452968,174605,23716,6.768917,4.190569,18,1411.8765,72.54461
15,5,27585626,266979,20400,5.7971554,3.1006336,23,1518.7816,62.48056
15,10,27434948,243658,20400,5.781084,3.1006336,24,1634.6731,64.484474
15,20,26414555,174605,20400,5.674704,3.1006336,20,1299.0247,55.43926
20,5,27551352,266978,18366,5.2062583,2.513155,19,1177.3881,58.52489
20,10,27400762,243658,18366,5.1901965,2.513155,29,1877.9796,67.05502
20,20,26380766,174605,18366,5.083854,2.513155,21,1417.6132,66.36447
50,5,27394411,266974,13360,4.007511,1.3298512,26,1401.7651,53.847027
50,10,27244313,243656,13360,3.9914968,1.3298512,31,1684.2335,54.81318
50,20,26226280,174604,13360,3.8853447,1.3298512,20,1104.7524,54.073765
