# generated by scripts/movielens_sizespeed.jl on 2026-08-21
# julia 1.10.12, MixedModels 5.8.2, NLopt 1.2.1
# libopenblas64_.so with 16 BLAS threads, 32 julia threads
# znver3 x32
# ftol_rel 1.0e-10, ftol_abs 1.0e-6, optimizer LN_BOBYQA
mc,uc,nratings,nusers,nmvie,modelsz,L22sz,nv,fittime,evtime
1,20,32000204,200948,84432,29.450312486849725,26.55702482908964,29,48128.231919088,1603.89863218
2,20,31981597,200948,65825,19.032063519582152,16.14166969060898,31,25099.19748541,785.424371722
5,20,31921467,200948,43884,10.057915012352169,7.174347914755344,33,8946.570713003,263.42996036
10,20,31842705,200948,31961,6.680222956463695,3.8055237233638763,33,4311.034803569,126.843715988
15,20,31777786,200948,26428,5.470517451874912,2.6019872203469276,49,4404.951199263,87.962946666
20,20,31725920,200948,23350,4.894888513721526,2.031199127435684,47,3470.222429541,72.69364247
50,20,31498689,200947,16034,3.800161963328719,0.9577915221452713,43,2049.202725327,46.558198785
1,40,30433400,144848,84205,29.15891213528812,26.414417639374733,43,71347.966862349,1626.491751918
2,40,30415014,144848,65819,18.88036196678877,16.138727195560932,41,32953.154330059,781.757987738
5,40,30355623,144848,43884,9.909221685491502,7.174347914755344,32,8677.690359019,262.921182662
10,40,30277758,144848,31961,6.531609693542123,3.8055237233638763,30,3893.984090259,125.694392794
15,40,30213583,144848,26428,5.321969768963754,2.6019872203469276,32,2872.480374139,87.134582246
20,40,30162330,144848,23350,4.746395838446915,2.031199127435684,33,2411.556842991,71.171137359
50,40,29938038,144848,16034,3.651932471431792,0.9577915221452713,34,1575.115566743,44.910712413
1,80,27569316,94380,83897,28.705853862687945,26.22153803706169,42,68101.385307164,1583.902899347
2,80,27551218,94380,65799,18.61042231321335,16.128920815885067,49,39401.855301064,782.518805386
5,80,27492886,94380,43884,9.649184348993003,7.174347914755344,39,10521.472666849,263.472404709
10,80,27416310,94380,31961,6.271687602624297,3.8055237233638763,37,4759.86410586,125.57283803
15,80,27353366,94380,26428,5.06215753685683,2.6019872203469276,36,3223.328368006,86.940463141
20,80,27303019,94380,23350,4.486664743162692,2.031199127435684,39,2848.119115047,70.975531578
50,80,27083536,94380,16034,3.3926314683631063,0.9577915221452713,42,1944.903682695,45.265551331
